# k             sigma       delta     v       da        db       vsr       u   t_trans   itmax    nmax    dt       dx     
  0.0110    -0.00002929    0.300  102.000    1.000    3.333    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0010     0.00000025    0.300  103.000    1.000    3.333    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0060     0.00000217    0.300  103.000    1.000    3.333    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0110    -0.00001962    0.300  103.000    1.000    3.333    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0160    -0.00012747    0.300  103.000    1.000    3.333    1.000   25.000     99     599999    600  0.00050  1.00000

  0.0010     0.00000082    0.250   85.000    1.000    4.000    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0060     0.00000461    0.250   85.000    1.000    4.000    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0110     0.00000196    0.250   85.000    1.000    4.000    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0010     0.00000069    0.250   84.000    1.000    4.000    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0060    -0.00000020    0.250   84.000    1.000    4.000    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0110    -0.00001360    0.250   84.000    1.000    4.000    1.000   25.000     99     599999    600  0.00050  1.00000

  0.0010    -0.00000275    0.350  120.000    1.000    2.857    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0060    -0.00009837    0.350  120.000    1.000    2.857    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0110    -0.00037775    0.350  120.000    1.000    2.857    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0010    -0.00000199    0.350  150.000    1.000    2.857    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0060    -0.00008005    0.350  150.000    1.000    2.857    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0110    -0.00038566    0.350  150.000    1.000    2.857    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0160    -0.00117513    0.350  150.000    1.000    2.857    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0210    -0.00277948    0.350  150.000    1.000    2.857    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0260    -0.00554076    0.350  150.000    1.000    2.857    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0310    -0.00977117    0.350  150.000    1.000    2.857    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0360    -0.01573231    0.350  150.000    1.000    2.857    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0410    -0.02363224    0.350  150.000    1.000    2.857    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0460    -0.03362970    0.350  150.000    1.000    2.857    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0010    -0.00000036    0.350  200.000    1.000    2.857    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0060    -0.00005441    0.350  200.000    1.000    2.857    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0110    -0.00054194    0.350  200.000    1.000    2.857    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0160    -0.00218889    0.350  200.000    1.000    2.857    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0210    -0.00581256    0.350  200.000    1.000    2.857    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0260    -0.01213269    0.350  200.000    1.000    2.857    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0310    -0.02170226    0.350  200.000    1.000    2.857    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0360    -0.03491261    0.350  200.000    1.000    2.857    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0410    -0.05202484    0.350  200.000    1.000    2.857    1.000   25.000     99     599999    600  0.00050  1.00000
  0.0460    -0.07320641    0.350  200.000    1.000    2.857    1.000   25.000     99     599999    600  0.00050  1.00000



  0.0010     0.00000022    0.200   80.000    1.000    5.000    1.000   25.000     99     799999    600  0.00050  1.00000
