# k              sigma          delta      dc    db   t_trans   itmax       nmax        dt    dx     
  0.11010000   0.00165447  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.12010000   0.00181102  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.13010000   0.00195544  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.14010000   0.00208775  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.15010000   0.00220797  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.16010000   0.00231610  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.17010000   0.00241215  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.18010000   0.00249608  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.19010000   0.00256790  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.20010000   0.00262757  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.21010000   0.00267509  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.22010000   0.00271045  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.23009999   0.00273362  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.24009999   0.00274457  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.25009999   0.00274329  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.26009999   0.00272976  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.27009999   0.00270396  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.28009999   0.00266589  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.29009999   0.00261553  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.30009999   0.00255286  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.31009999   0.00247787  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.32009999   0.00239057  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.33009999   0.00229093  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.34009999   0.00217896  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.35009999   0.00205464  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.36009999   0.00191798  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.37009999   0.00176898  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.38009999   0.00160763  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.39009999   0.00143393  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.40009999   0.00124789  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.41009999   0.00104950  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.42009999   0.00083878  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.43009999   0.00061573  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.44009999   0.00038035  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.45009999   0.00013265  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.46009999  -0.00012736  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.47009999  -0.00039968  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.48009999  -0.00068428  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.49009999  -0.00098115  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.50009999  -0.00129030  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.51009999  -0.00161168  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.52009999  -0.00194531  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.53009999  -0.00229116  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.54009999  -0.00264922  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.55009999  -0.00301948  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.56009999  -0.00340192  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.57009999  -0.00379652  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.58009999  -0.00420328  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500
  0.59009999  -0.00462216  19.99999970  1.000  0.050    149     120000       3000  0.010  0.500

  0.00010000  -0.00016820   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.01010000  -0.00016891   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.02010000  -0.00017173   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.03010000  -0.00017868   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.04010000  -0.00019297   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.05010000  -0.00021880   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.06010000  -0.00026110   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.07010000  -0.00032529   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.08010000  -0.00041705   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.09010000  -0.00054206   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.10010000  -0.00070588   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.11010000  -0.00091388   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.12010000  -0.00117104   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.13010000  -0.00148202   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.14010000  -0.00185108   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
